crop,avg_yield_kg_per_ha,yield_low_kg_per_ha,yield_high_kg_per_ha,market_price_inr_per_quintal,cultivation_cost_inr_per_ha,season,category,duration_days,water_requirement_mm,data_source,price_per_kg_inr,revenue_per_ha_inr,profit_per_ha_inr,profit_margin_pct,breakeven_yield_kg_ha,roi_pct
rice,2600,1800,4500,2183,38000,Kharif,Cereal,120,1200,CACP 2024,21.83,56758.0,18758.0,33.0,1741.0,49.4
wheat,3500,2500,5500,2275,32000,Rabi,Cereal,150,450,CACP 2024,22.75,79625.0,47625.0,59.8,1407.0,148.8
maize,3000,2000,5000,1962,22000,Kharif,Cereal,90,600,CACP 2024,19.62,58860.0,36860.0,62.6,1121.0,167.5
chickpea,1100,700,1800,5440,25000,Rabi,Pulse,90,400,CACP 2024,54.4,59840.0,34840.0,58.2,460.0,139.4
kidneybeans,800,500,1200,6000,20000,Kharif,Pulse,90,350,Agmarknet 2024,60.0,48000.0,28000.0,58.3,333.0,140.0
pigeonpeas,800,500,1200,7000,18000,Kharif,Pulse,150,350,MSP 2024,70.0,56000.0,38000.0,67.9,257.0,211.1
mothbeans,600,400,900,8558,15000,Kharif,Pulse,70,300,MSP 2024,85.58,51348.0,36348.0,70.8,175.0,242.3
mungbean,900,600,1400,8558,18000,Kharif,Pulse,60,350,MSP 2024,85.58,77022.0,59022.0,76.6,210.0,327.9
blackgram,800,500,1200,7400,18000,Kharif,Pulse,90,350,MSP 2024,74.0,59200.0,41200.0,69.6,243.0,228.9
lentil,1000,700,1500,6000,22000,Rabi,Pulse,120,450,Agmarknet 2024,60.0,60000.0,38000.0,63.3,367.0,172.7
pomegranate,8000,5000,14000,4500,90000,Annual,Fruit,365,700,NHB 2024,45.0,360000.0,270000.0,75.0,2000.0,300.0
banana,25000,18000,38000,1200,55000,Annual,Fruit,300,1200,NHB 2024,12.0,300000.0,245000.0,81.7,4583.0,445.5
mango,7000,4500,12000,2000,50000,Annual,Fruit,365,1200,NHB 2024,20.0,140000.0,90000.0,64.3,2500.0,180.0
grapes,12000,8000,20000,3500,120000,Annual,Fruit,120,700,NHB 2024,35.0,420000.0,300000.0,71.4,3429.0,250.0
watermelon,20000,14000,30000,600,35000,Kharif,Fruit,90,600,Agmarknet 2024,6.0,120000.0,85000.0,70.8,5833.0,242.9
muskmelon,10000,6000,16000,500,30000,Kharif,Fruit,90,500,Agmarknet 2024,5.0,50000.0,20000.0,40.0,6000.0,66.7
apple,8000,5000,14000,5500,150000,Annual,Fruit,365,1200,Agmarknet 2024,55.0,440000.0,290000.0,65.9,2727.0,193.3
orange,10000,6000,16000,2500,60000,Annual,Fruit,365,900,Agmarknet 2024,25.0,250000.0,190000.0,76.0,2400.0,316.7
papaya,20000,14000,32000,600,40000,Annual,Fruit,270,1500,Agmarknet 2024,6.0,120000.0,80000.0,66.7,6667.0,200.0
coconut,9000,6000,14000,2400,25000,Annual,Fruit,365,2000,Agmarknet 2024,24.0,216000.0,191000.0,88.4,1042.0,764.0
cotton,500,300,800,6620,38000,Kharif,Cash Crop,180,700,MSP 2024,66.2,33100.0,-4900.0,-14.8,574.0,-12.9
jute,2500,1800,3500,5050,28000,Kharif,Cash Crop,120,1500,MSP 2024,50.5,126250.0,98250.0,77.8,554.0,350.9
coffee,800,500,1200,23000,80000,Annual,Cash Crop,365,1800,Agmarknet 2024,230.0,184000.0,104000.0,56.5,348.0,130.0
